gaze_normal0_x;gaze_normal0_y;gaze_normal0_z;gaze_normal1_x;gaze_normal1_y;gaze_normal1_z;norm_pos_x;norm_pos_y
-0,284706495;-0,354486056;0,890663712;-0,076303327;-0,352921634;0,932536392;0,343177211;0,81664861
-0,284706495;-0,354486056;0,890663712;-0,076296695;-0,353058171;0,93248525;0,343177592;0,816732524
-0,284980523;-0,355677067;0,890101076;-0,076296695;-0,353058171;0,93248525;0,343017958;0,817440283
-0,284980523;-0,355677067;0,890101076;-0,07546945;-0,35664023;0,931188546;0,343117961;0,819576454
-0,286593469;-0,355286099;0,889739272;-0,07546945;-0,35664023;0,931188546;0,342198717;0,819117392
-0,286593469;-0,355286099;0,889739272;-0,076750841;-0,356913528;0,930979077;0,34202159;0,819417543
-0,286047382;-0,357053515;0,889207334;-0,076750841;-0,356913528;0,930979077;0,342328132;0,820595088
-0,286047382;-0,357053515;0,889207334;-0,076225544;-0,354916587;0,93178532;0,342408165;0,819303421
-0,284879247;-0,357352627;0,889462149;-0,076225544;-0,354916587;0,93178532;0,343073248;0,819645657
-0,284879247;-0,357352627;0,889462149;-0,07591138;-0,355560407;0,931565488;0,343114087;0,820012765
-0,285200199;-0,356489848;0,889705476;-0,07591138;-0,355560407;0,931565488;0,342933744;0,819430702
-0,285200199;-0,356489848;0,889705476;-0,077811241;-0,356599438;0,931011413;0,342668067;0,82026785
-0,285111059;-0,355967645;0,889943099;-0,077811241;-0,356599438;0,931011413;0,342720317;0,819953559
-0,284740854;-0,355413515;0,890283033;-0,077811241;-0,356599438;0,931011413;0,342932598;0,819656692
-0,284740854;-0,355413515;0,890283033;-0,078340861;-0,356164618;0,931133435;0,342861421;0,819441443
-0,283638732;-0,354897219;0,890840633;-0,078340861;-0,356164618;0,931133435;0,3434893;0,819265559
-0,283638732;-0,354897219;0,890840633;-0,080932811;-0,356893255;0,930632626;0,343129209;0,819981437
-0,283638732;-0,354897219;0,890840633;-0,083148541;-0,358513768;0,929814067;0,342818066;0,821209012
-0,284463183;-0,354299805;0,890815551;-0,083148541;-0,358513768;0,929814067;0,342352305;0,820728913
-0,282892561;-0,352925828;0,891860504;-0,083148541;-0,358513768;0,929814067;0,343245542;0,820082438
-0,282892561;-0,352925828;0,891860504;-0,083682818;-0,358181591;0,929894152;0,343173441;0,819932258
-0,282892561;-0,352925828;0,891860504;-0,085483441;-0,359807927;0,929102167;0,342919302;0,821120674
-0,282571822;-0,351547761;0,892506211;-0,085483441;-0,359807927;0,929102167;0,343103773;0,820308566
-0,282631178;-0,350715165;0,892814925;-0,085483441;-0,359807927;0,929102167;0,343072164;0,819784719
-0,282631178;-0,350715165;0,892814925;-0,088301024;-0,357744638;0,929635253;0,342694462;0,818805302
-0,282470414;-0,34990039;0,893185413;-0,088301024;-0,357744638;0,929635253;0,34278703;0,818322452
-0,282470414;-0,34990039;0,893185413;-0,0870486;-0,359317804;0,929146521;0,342952033;0,819161171
-0,282018653;-0,349027097;0,893669718;-0,0870486;-0,359317804;0,929146521;0,34320879;0,818680604
-0,282018653;-0,349027097;0,893669718;-0,085078454;-0,360452866;0,92888933;0,343474646;0,819176081
-0,281818012;-0,349389222;0,893591506;-0,085078454;-0,360452866;0,92888933;0,343587103;0,819426905
-0,281818012;-0,349389222;0,893591506;-0,082367595;-0,360270625;0,929204313;0,343961559;0,819034327
-0,281933916;-0,349400407;0,893550571;-0,082367595;-0,360270625;0,929204313;0,343896027;0,819025916
-0,281933916;-0,349400407;0,893550571;-0,079870997;-0,361391784;0,928986869;0,344235934;0,819462618
-0,281176364;-0,349718614;0,893664782;-0,079870997;-0,361391784;0,928986869;0,344663796;0,819760246
-0,281176364;-0,349718614;0,893664782;-0,079765887;-0,361303748;0,929030142;0,34467875;0,819695007
-0,281868235;-0,349420759;0,893563334;-0,079765887;-0,361303748;0,929030142;0,344287998;0,819418664
-0,281868235;-0,349420759;0,893563334;-0,077851005;-0,361061056;0,929286896;0,344554243;0,819072102
-0,280808506;-0,349502113;0,893865122;-0,077851005;-0,361061056;0,929286896;0,345154017;0,81926277
-0,280808506;-0,349502113;0,893865122;-0,077724174;-0,361700617;0,92904877;0,345168782;0,819645965
-0,282544259;-0,347812572;0,893977157;-0,077724174;-0,361700617;0,92904877;0,344189173;0,818365846
-0,282544259;-0,347812572;0,893977157;-0,074805215;-0,361181894;0,929490086;0,344596199;0,81774401
-0,281370806;-0,347592063;0,894432908;-0,074805215;-0,361181894;0,929490086;0,345262644;0,817762899
-0,281370806;-0,347592063;0,894432908;-0,070608572;-0,361508358;0,92969142;0,345846472;0,817536026
-0,281947306;-0,346409391;0,894710149;-0,070608572;-0,361508358;0,92969142;0,345521207;0,81672114
-0,281947306;-0,346409391;0,894710149;-0,069799136;-0,359012589;0,930719099;0,345645867;0,815083841
-0,282681912;-0,343397029;0,895639111;-0,069799136;-0,359012589;0,930719099;0,345234251;0,813103339
-0,282681912;-0,343397029;0,895639111;-0,070281103;-0,353081342;0,932949159;0,34519452;0,809461208
-0,281949405;-0,3278411;0,901678849;-0,070281103;-0,353081342;0,932949159;0,345642914;0,799863149
-0,281949405;-0,3278411;0,901678849;-0,066794874;-0,340562349;0,937846326;0,346194662;0,791663889
-0,283555323;-0,313195339;0,906369162;-0,066794874;-0,340562349;0,937846326;0,345309694;0,782281343
-0,283555323;-0,313195339;0,906369162;-0,063762811;-0,330496098;0,941651014;0,345789268;0,775620359
-0,287589629;-0,302166053;0,908838755;-0,063762811;-0,330496098;0,941651014;0,343503294;0,768078944
-0,287589629;-0,302166053;0,908838755;-0,065389754;-0,319256723;0,945409607;0,343339054;0,761262414
-0,287734583;-0,292661743;0,911897973;-0,065389754;-0,319256723;0,945409607;0,343276694;0,755296193
-0,287734583;-0,292661743;0,911897973;-0,063794625;-0,312712624;0,947703045;0,34353642;0,750984868
-0,287384803;-0,292930841;0,91192187;-0,063794625;-0,312712624;0,947703045;0,34373622;0,751213151
-0,287384803;-0,292930841;0,91192187;-0,06331773;-0,315707462;0,946741603;0,343786206;0,75301914
-0,286097098;-0,294212314;0,911914231;-0,06331773;-0,315707462;0,946741603;0,344520706;0,754039235
-0,286097098;-0,294212314;0,911914231;-0,062913505;-0,314119541;0,947296577;0,344586157;0,752991289
-0,284978967;-0,293388112;0,912529673;-0,062913505;-0,314119541;0,947296577;0,34522718;0,752665886
-0,284978967;-0,293388112;0,912529673;-0,064562822;-0,315402606;0,946759124;0,344988329;0,753694731
-0,284362194;-0,29387155;0,912566521;-0,064562822;-0,315402606;0,946759124;0,345339145;0,754100768
-0,284362194;-0,29387155;0,912566521;-0,068168701;-0,313738632;0,947059185;0,344842139;0,753561839
-0,284134831;-0,294632574;0,912391935;-0,068168701;-0,313738632;0,947059185;0,34496984;0,754074342
-0,284134831;-0,294632574;0,912391935;-0,067532284;-0,312502651;0,947513316;0,345065638;0,753217169
-0,28525238;-0,293074775;0,912544934;-0,067532284;-0,312502651;0,947513316;0,344432695;0,752056441
-0,28525238;-0,293074775;0,912544934;-0,066522349;-0,311823285;0,947808534;0,344577755;0,75149254
-0,285589833;-0,294052972;0,912124606;-0,066522349;-0,311823285;0,947808534;0,344383022;0,75204549
-0,285589833;-0,294052972;0,912124606;-0,069354495;-0,311150807;0,947826529;0,343990736;0,752021298
-0,285251275;-0,296941883;0,91129426;-0,069354495;-0,311150807;0,947826529;0,344176636;0,753879361
-0,285251275;-0,296941883;0,91129426;-0,07105633;-0,310704623;0,947846842;0,343941455;0,753837823
-0,286327551;-0,296837045;0,910990836;-0,07105633;-0,310704623;0,947846842;0,343328909;0,753590362
-0,286327551;-0,296837045;0,910990836;-0,070566584;-0,310212605;0,948044565;0,343399562;0,753216589
-0,286968802;-0,297640187;0,910526895;-0,070566584;-0,310212605;0,948044565;0,343031854;0,753608625
-0,286968802;-0,297640187;0,910526895;-0,069454055;-0,313310036;0,947107679;0,343170554;0,755381813
