gaze_timestamp;gaze_normal0_x;gaze_normal0_y;gaze_normal1_x;gaze_normal1_y
699013,2417;-0,390171294;0,107685342;0,015385076;0,072295558
699013,2464;-0,390171294;0,107685342;0,014757794;0,072545327
699013,2504;-0,390140416;0,104541106;0,014757794;0,072545327
699013,2539;-0,390140416;0,104541106;0,016485343;0,073109753
699013,2594;-0,389215237;0,102436464;0,016485343;0,073109753
699013,2646;-0,389215237;0,102436464;0,018075087;0,072395421
699013,2677;-0,389557907;0,098378008;0,018075087;0,072395421
699013,271;-0,389557907;0,098378008;0,016914358;0,073825176
699013,2745;-0,389834946;0,096400457;0,016914358;0,073825176
699013,2798;-0,389834946;0,096400457;0,015765808;0,074398004
699013,2839;-0,389620428;0,095188317;0,015765808;0,074398004
699013,288;-0,390365692;0,091552296;0,015765808;0,074398004
699013,2911;0,055344281;-0,025768076;;
699013,2918;;;-0,651250555;0,019335147
699013,3054;-0,390431725;0,091476791;0,015296517;0,07466904
699013,3113;-0,390179419;0,090117005;0,015296517;0,07466904
699013,3194;-0,390179419;0,090117005;0,016823776;0,074741111
699013,3233;-0,389801212;0,08986911;0,016823776;0,074741111
699013,3269;-0,390292785;0,089886816;0,016823776;0,074741111
699013,3302;-0,388556259;0,08989395;0,016823776;0,074741111
699013,3339;-0,388556259;0,08989395;0,015797328;0,074775026
699013,3374;-0,387895854;0,091597318;0,015797328;0,074775026
699013,3423;-0,387895854;0,091597318;0,015039627;0,074916393
699013,3456;-0,387584646;0,094459684;0,015039627;0,074916393
699013,3489;-0,387584646;0,094459684;0,015714861;0,074067651
699013,353;-0,3873171;0,09546395;0,015714861;0,074067651
699013,3567;-0,3873171;0,09546395;0,014770175;0,074725069
699013,3607;-0,389279248;0,096548161;0,014770175;0,074725069
699013,3653;-0,389279248;0,096548161;0,014103337;0,075301813
699013,3692;-0,387522198;0,098967332;0,014103337;0,075301813
699013,3727;-0,387522198;0,098967332;0,013563853;0,075034265
699013,3767;-0,389010016;0,098468355;0,013563853;0,075034265
699013,3807;-0,389010016;0,098468355;0,012579635;0,075806628
699013,3846;-0,390010238;0,09932257;0,012579635;0,075806628
699013,3894;-0,390010238;0,09932257;0,012316423;0,075763978
699013,3934;-0,388946431;0,098945386;0,012316423;0,075763978
699013,3977;-0,388946431;0,098945386;0,011707064;0,074712729
699013,4016;-0,389189004;0,100007406;0,011707064;0,074712729
699013,4062;-0,389189004;0,100007406;0,012094696;0,075158466
699013,4102;-0,389429755;0,09860693;0,012094696;0,075158466
699013,4136;-0,389429755;0,09860693;0,013509848;0,074756493
699013,4176;-0,391690953;0,099388393;0,013509848;0,074756493
699013,4187;0,052959532;-0,018067536;;
699013,4267;;;-0,636901715;0,002323316
699013,4353;-0,391797402;0,098281349;0,009735103;0,076205051
699013,4392;-0,39306343;0,098802118;0,009735103;0,076205051
699013,4432;-0,393711623;0,098759751;0,009735103;0,076205051
699013,4472;-0,396224716;0,097531791;0,009735103;0,076205051
699013,4506;-0,396224716;0,097531791;0,008302577;0,077121259
699013,4555;-0,396224716;0,097531791;0,007389914;0,077177661
699013,4595;-0,397624199;0,09700061;0,007389914;0,077177661
